"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_21","ATAD5","TMEM106C","ATP13A3","ZNF688","CD79B","SLC35E3","ALYREF","BCAT2","POLR3K","BCKDHA","ANKRD26","ATP13A1","VDR","HAUS4","CD274","EIF4EBP1","TAF5","DPM2","NUDT2","AC133644.2","SLC43A3","TBL1X","HMG20A","COX10","HADH","GGCT","PEX3","CASP8AP2","MKKS","PARVB","RBFA","NMRAL1","WDR54","MCM7","RNASEH2A","DTYMK","PLGRKT","RDX","PFDN6","IL1R2","ALG3","INO80C","LY75","PXK","YIF1B","ABHD16A","MPDU1","DPP3","IFNGR2","TAF2"
"tnk_22","TYROBP","FCER1G","TRDC","TMIGD2","TNFRSF18","KRT86","KRT81","TXK","MPG","LAT2","CXXC5","SLC16A3","KLRB1","SH2D1B","KIR2DL4","CAPG","CTSW","S100A13","IL2RB","MATK","PHYKPL","SPRY1","SLC25A39","ZBTB16","KLRC1","BST2","STARD3NL","AREG","FES","HOPX","ENTPD1","ADGRG3","FUCA1","CCDC69","XCL2","B3GNT7","KLRC2","XCL1","PTPN6","CD164","PRMT9","GSTP1","SERPINB6","FGR","CCND2","GPR82","ITGB7","ID2","TGFB1","LST1"
"tnk_23","ASPM","CENPF","TPX2","DLGAP5","KIF11","GTSE1","CENPE","TOP2A","KIF23","HIST1H1B","HIST1H1D","CDCA8","CCNA2","CEP55","AURKB","HMMR","CKAP2L","NCAPG","CCNB2","NDC80","CDCA3","CENPA","RACGAP1","NUF2","MKI67","PRC1","CDCA2","HIST1H1C","MXD3","KIFC1","FAM111A","NCAPD2","CDKN3","HIST2H2AC","KIF2C","CDK1","BIRC5","ARHGAP11A","HIST1H1E","CDC20","TACC3","FANCI","UBE2C","CKAP2","NCAPH","PLK1","CCNB1","SHCBP1","BUB1B","FOXM1"
"tnk_24","AIMP2","YBX3","TRAP1","AIF1","NOP16","UCK2","EBPL","CLN6","RNASEH2A","HNRNPA1L2","PCCB","IL10RB","HMBS","MPI","MKKS","NANS","CENPV","MRPL45","NBEAL1","BDH1","GCSH","ANXA4","C11orf1","GEMIN7","DPP3","ARFIP2","MRPL19","PPIF","RASGRP2","GPX7","GOT2","HAUS4","POLR3H","NTPCR","DUS3L","GSTZ1","C20orf27","MRPL30","WDR77","ALG3","PSMG4","TIMM23","PRMT5","TACO1","ELMO1","RAD50","RNPEP","AAAS","APOL3","YIF1B"
"tnk_25","VPREB3","MS4A1","BANK1","CD79A","CD79B","MARCKS","MEF2C","BASP1","SMIM14","POU2AF1","IFI30","LY86","GNG7","MARCH1","POU2F2","IGHM","BTK","HLA.DMB","INSR","TNFRSF17","TNFRSF13C","TCF4","BLK","SPI1","EAF2","CPNE5","KCNN4","YBX3","COBLL1","DAPP1","IFNGR2","AIM2","ASB13","NPDC1","USP6NL","CTSH","P2RX5","KLF2","STAG3","NXPE3","ZNF581","DEF8","CLECL1","PPP1R16A","ST6GAL1","ANKZF1","HLA.DOB","GM2A","CD83","MFSD12"
"tnk_26","GZMK","CCL4L2","GPR183","LYAR","GADD45B","AHNAK","SERTAD1","TSPYL2","TC2N","MGAT4A","MYADM","TUBB4B","CCNH","EML4","ITK","NR4A1","CD6","CMC1","ITGB2","PDE4B","PARP8","SPOCK2","CD55","ZNF331","SLC2A3","IL7R","RORA","GIMAP4","LTB","SYNE2","CNOT6L","AMD1","EPC1","RGCC","TECR","SNHG12","LBH","TAGAP","PIK3R1","SMCHD1","IL10RA","TUBA1A","CSRNP1","STAT4","ITGA4","SLC38A1","CD27","HIST1H4C","PBXIP1","ZC3HAV1"
"tnk_27","GNLY","KLRC2","KLRD1","TRDC","GZMB","HOPX","ID2","GZMA","CD7","ENTPD1","CKLF","NKG7","TRGC2","BLOC1S1","ARF6","IGKC","TYROBP","CCL5","RGS1","CD52","ARPC4","CCL4","GPR171","CYBA","FCER1G","CCL3","TNFRSF18","HAVCR2","PRF1","ACTB","HCST","KLRB1","ALOX5AP","NDUFA13","ARPC1B","IL32","KLRC1","POLR2J3","COTL1","PRELID1","TRBC2","TMIGD2","SH3BGRL3","CTSW","KIR2DL4","HMGN1","FTL","ANKRD28","EVL","ZFP36L2"
"tnk_28","AQP3","CD40LG","PTPRCAP","CCR6","FLT3LG","CD4","PBX4","SLAMF1","TNFRSF25","CD5","AHR","CD82","PNP","TMEM173","ADAM19","RUNX2","GPRIN3","BHLHE40","CDKN1A","CTSH","CYTH1","SATB1","NFKB2","NFKB1","PHTF2","RELB","YIPF5","DGKA","DPP4","TNFSF13B","JAK3","TRAF1","PER1","BCL2","GOLGA8B","TNIP1","SPTAN1","SESN1","RGS14","ABLIM1","TGFBR2","PRNP","SF3A1","NUP98","HIF1A","CCR7","ICOS","DOCK10","TIMP1","PBXIP1"
"tnk_29","ELL2","NR4A3","KLRC3","IL21R","RELB","FBXO34","ATXN7","BCL3","IRF4","ZBTB1","NFKB1","KDM6B","DUSP5","CDK17","RASGEF1B","JMY","RBKS","RBM38","PLEKHA2","CCNT1","NUP98","NSMCE3","ANKHD1","PBX4","PRKX","RFTN1","INSIG1","KIR2DL4","TIPARP","DENND4A","PRDM2","ATP8A1","PPP1R16B","FOSL2","GPR15","PIM3","NFE2L2","KPNA2","AOAH","NDEL1","MALT1","HIST1H1E","PFKFB3","PLEKHB2","GABPB1","CDKN1A","P2RY10","RALGAPA1","NFKB2","SLC25A32"
"tnk_30","AQP3","CD40LG","CD82","FLT3LG","RUNX2","TNFRSF25","TMEM173","ARHGEF6","GIT2","CD4","PHTF2","GIMAP6","SLAMF1","DGKA","JAK3","SASH3","POLD4","SIT1","RGS14","GOLGA8B","INPP4B","FLI1","ADAM19","RCSD1","CTSH","PTDSS1","TRADD","CD5","ADAM10","TCIRG1","BHLHE40","PLEKHF1","TMC8","FERMT3","SYTL1","RGS19","MIS18BP1","CISH","DCAF7","PAG1","CCR6","PTPN6","SAMHD1","STARD3","GBP5","GRAP2","APEX1","BATF","ERN1","FDFT1"
