"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_21","ATAD5","TMEM106C","ATP13A3","ZNF688","CD79B","SLC35E3","ALYREF","BCAT2","POLR3K","BCKDHA","ANKRD26","ATP13A1","VDR","HAUS4","CD274","EIF4EBP1","TAF5","DPM2","NUDT2","AC133644.2","SLC43A3","TBL1X","HMG20A","COX10","HADH","GGCT","PEX3","CASP8AP2","MKKS","PARVB","RBFA","NMRAL1","WDR54","MCM7","RNASEH2A","DTYMK","PLGRKT","RDX","PFDN6","IL1R2","ALG3","INO80C","LY75","PXK","YIF1B","ABHD16A","MPDU1","DPP3","IFNGR2","TAF2"
"tnk_22","TYROBP","FCER1G","TRDC","TMIGD2","TNFRSF18","KRT86","KRT81","TXK","MPG","LAT2","CXXC5","SLC16A3","KLRB1","SH2D1B","KIR2DL4","CAPG","S100A13","CTSW","SPRY1","PHYKPL","IL2RB","SLC25A39","ZBTB16","MATK","KLRC1","ENTPD1","STARD3NL","FES","BST2","AREG","ADGRG3","FUCA1","KLRC2","HOPX","B3GNT7","CCDC69","PRMT9","PTPN6","CD164","CCND2","GPR82","XCL2","FGR","SERPINB6","XCL1","GSTP1","ITGB7","CD160","TGFB1","GYG1"
"tnk_23","ASPM","CENPF","TPX2","KIF11","DLGAP5","GTSE1","HIST1H1B","CENPE","HIST1H1D","TOP2A","CEP55","KIF23","CDCA8","NCAPG","CCNA2","HMMR","CCNB2","AURKB","CKAP2L","NDC80","RACGAP1","CDCA3","NUF2","CENPA","HIST1H1C","MKI67","NCAPD2","CDCA2","FAM111A","KIFC1","HIST1H1E","HIST2H2AC","MXD3","CDKN3","ARHGAP11A","CDK1","KIF2C","PRC1","BIRC5","FANCI","BUB1B","CDC20","CKAP2","NCAPH","CCNB1","TACC3","SHCBP1","ESCO2","BUB1","UBE2C"
"tnk_24","AIMP2","UCK2","TRAP1","NOP16","PCCB","HAUS4","ANXA4","NANS","DPP3","HMBS","BDH1","DUS3L","YBX3","MPI","TIMM23","GOT2","POLR3H","ARFIP2","MRPL45","FASN","PPIF","MRPL19","SEC61A1","YIF1B","SEH1L","GCSH","C11orf1","AAAS","EBPL","FPGS","C20orf27","GSTZ1","GEMIN7","FTSJ1","NTPCR","NDC1","RNASEH2A","GPX7","COX16","ALG3","PCK2","RNPEP","PSMG4","TMEM97","AP1B1","ACAT1","NPDC1","UTP14A","ELMO1","OGFOD1"
"tnk_25","VPREB3","MS4A1","BANK1","CD79A","CD79B","MARCKS","MEF2C","BASP1","SMIM14","POU2AF1","IFI30","LY86","GNG7","MARCH1","POU2F2","IGHM","BTK","HLA.DMB","INSR","TNFRSF17","TNFRSF13C","TCF4","BLK","SPI1","EAF2","CPNE5","KCNN4","YBX3","COBLL1","DAPP1","IFNGR2","AIM2","ASB13","NPDC1","USP6NL","CTSH","P2RX5","KLF2","STAG3","NXPE3","ZNF581","DEF8","CLECL1","PPP1R16A","ST6GAL1","ANKZF1","HLA.DOB","GM2A","CD83","MFSD12"
"tnk_26","GZMK","CCL4L2","GPR183","GADD45B","SERTAD1","AHNAK","LYAR","TSPYL2","MGAT4A","TUBB4B","TC2N","MYADM","CCNH","NR4A1","EML4","ITK","CD6","PDE4B","PARP8","CD55","SPOCK2","ITGB2","CMC1","IL7R","ZNF331","SLC2A3","RORA","SYNE2","CNOT6L","GIMAP4","AMD1","EPC1","LTB","SNHG12","TAGAP","LBH","TECR","RGCC","PIK3R1","SMCHD1","TUBA1A","CSRNP1","STAT4","ITGA4","IL10RA","SLC38A1","HIST1H4C","SMAP2","ZC3HAV1","CD27"
"tnk_27","GNLY","KLRC2","KLRD1","TRDC","GZMB","HOPX","ID2","GZMA","CD7","ENTPD1","CKLF","NKG7","TRGC2","BLOC1S1","ARF6","IGKC","TYROBP","CCL5","RGS1","CD52","ARPC4","CCL4","GPR171","CYBA","FCER1G","CCL3","TNFRSF18","HAVCR2","PRF1","ACTB","HCST","KLRB1","ALOX5AP","NDUFA13","ARPC1B","IL32","KLRC1","POLR2J3","COTL1","PRELID1","TRBC2","TMIGD2","SH3BGRL3","CTSW","KIR2DL4","HMGN1","FTL","ANKRD28","EVL","ZFP36L2"
"tnk_28","AQP3","CD40LG","PTPRCAP","CCR6","FLT3LG","CD4","PBX4","SLAMF1","TNFRSF25","CD5","AHR","CD82","PNP","TMEM173","ADAM19","RUNX2","GPRIN3","BHLHE40","CDKN1A","CTSH","CYTH1","SATB1","NFKB2","NFKB1","PHTF2","RELB","YIPF5","DGKA","DPP4","TNFSF13B","JAK3","TRAF1","PER1","BCL2","GOLGA8B","TNIP1","SPTAN1","SESN1","RGS14","ABLIM1","TGFBR2","PRNP","SF3A1","NUP98","HIF1A","CCR7","ICOS","DOCK10","TIMP1","PBXIP1"
"tnk_29","ELL2","NR4A3","KLRC3","IL21R","RELB","FBXO34","IRF4","BCL3","ATXN7","ZBTB1","NFKB1","DUSP5","KDM6B","CDK17","RBKS","RASGEF1B","JMY","PLEKHA2","NUP98","CCNT1","RBM38","PBX4","NSMCE3","ANKHD1","PRKX","KIR2DL4","RFTN1","TIPARP","INSIG1","DENND4A","PRDM2","PPP1R16B","ATP8A1","GPR15","FOSL2","PIM3","KPNA2","NFE2L2","AOAH","HIST1H1E","NDEL1","MALT1","PFKFB3","CDKN1A","P2RY10","PLEKHB2","RALGAPA1","SLC25A32","NFKB2","PNPLA8"
"tnk_30","AQP3","CD40LG","CD82","FLT3LG","RUNX2","TNFRSF25","TMEM173","ARHGEF6","GIT2","CD4","PHTF2","GIMAP6","SLAMF1","DGKA","JAK3","SASH3","POLD4","SIT1","RGS14","GOLGA8B","INPP4B","FLI1","ADAM19","RCSD1","CTSH","PTDSS1","TRADD","CD5","ADAM10","TCIRG1","BHLHE40","PLEKHF1","TMC8","FERMT3","SYTL1","RGS19","MIS18BP1","CISH","DCAF7","PAG1","CCR6","PTPN6","SAMHD1","STARD3","GBP5","GRAP2","APEX1","BATF","ERN1","FDFT1"
